user_id,status_id,created_at,text,source
704753,1.25E+18,2020-04-26T10:16:03Z,"@chausseedeforme @AlanDub13 @IBIKEDublin @dublincycling 2) Speed limits on some roads are viewed as a target speed. If you don't smartly get up to slightly over the speed limit, you'll get nicked for being timid.

3) You (me in particular) need to be in 5th by the time you're at 50kph.",Twitter Web App
704753,1.25E+18,2020-04-26T10:13:54Z,"@chausseedeforme @AlanDub13 @IBIKEDublin @dublincycling Things they taught: (Navan, 3 years back, explicitly to pass the test, rather than overall driving, as I'd been driving longer than my instructor had been alive.)

1) You should be going 3-5kph indicated over limit on 50-60kph roads.",Twitter Web App
544410345,1.25E+18,2020-04-25T18:14:14Z,@Dub324 @IBIKEDublin @ConorC @dublincycling I don't think I could face the cover every roads one!!  I might try some strava art next..  see what I can draw in my lockdown area!,Twitter Web App
544410345,1.25E+18,2020-04-25T18:07:32Z,"@Dub324 @IBIKEDublin @ConorC @dublincycling Try doing it without going along any road more than once - not easy - I made a couple of mistakes (roads looked like through-roads on google but weren't, mis-read my own map and took wrong turns, missed alleyways that I was supposed to turn down etc..).  It takes planning!",Twitter Web App
544410345,1.25E+18,2020-04-25T15:40:40Z,"So how many kms *can* you cycle within your lockdown area without going over the same road twice..??  I finished my route today with a 25 km cycle, bringing the total kms to 68..!!  Who would have thought it??  @ConorC @dublincycling @IBIKEDublin #LockDownChallenge https://t.co/h1GR0gBAaP https://t.co/mza8VLhfUy",Twitter for iPhone
544410345,1.25E+18,2020-04-25T18:11:22Z,"@Dub324 @IBIKEDublin @ConorC @dublincycling Yep, for sure.  I went with the no repeat roads.  The cover every roads will definitely clock more kms!  And take more time..!  But you would definitely know your neighbourhood better!!",Twitter Web App
544410345,1.25E+18,2020-04-25T16:14:31Z,"@ConorC @dublincycling @IBIKEDublin Yep, for sure.  In certain areas I couldn’t follow my planned map cos laneways had locked gates on them..  but you definitely could do this route in a car!  No chance!

It also was a great way to get to know the neighborhood..!",Twitter for iPhone
544410345,1.25E+18,2020-04-26T10:06:47Z,"@ConorC @dublincycling @IBIKEDublin @LorraineFitzsim Dunno-there were,fortunately, far more open laneways than gated/locked ones.Guess locked to discourage anti-social behaviour? Mostly was lanes that run behind rows of houses. Most only impeded my aim of clocking up as many kms as possible, not barrier to normal permeability.",Twitter for iPhone
85591153,1.25E+18,2020-04-26T09:55:09Z,"@DallowaysTea @modacitylife @IBIKEDublin Was just about to say the same. Never lived there, but visited and absolutely loved it.",TweetDeck
85591153,1.25E+18,2020-04-26T10:01:42Z,"@DallowaysTea @modacitylife @IBIKEDublin The cost of living is certainly high, but I'd say the quality of life for families is pretty high if you can afford it.",TweetDeck
6268912,1.25E+18,2020-04-26T09:22:04Z,"@niscratz @dublincycling @IBIKEDublin Wonder if any of those can be challenged for obstructing rights-of-way?
Barriers to permeability reduce the propensity for people to get around on their own steam.

@LorraineFitzsim describes this best
https://t.co/YKORsyydmS",Twitter Web App
6268912,1.25E+18,2020-04-25T16:01:57Z,"@niscratz @dublincycling @IBIKEDublin This is like that game Snake, that used to be on the old Nokia phones :-)
Except in real life!",Twitter Web App
6268912,1.25E+18,2020-04-25T16:08:27Z,"@niscratz @dublincycling @IBIKEDublin Do you know what, this would be a good test of neighbourhood pedestrian and cycling permeability. Local areas with smaller blocks and fewer barriers to access make for healthy streets, and would also likely allow for longer, non-repeating routes within the 2km radius... hmmmmm",Twitter Web App
23274149,1.25E+18,2020-04-26T09:07:17Z,@AlanDub13 @chausseedeforme @IBIKEDublin @dublincycling You're taking that out of context.,Twitter Web App
23274149,1.25E+18,2020-04-25T09:19:42Z,"@IBIKEDublin *picks carbon from teeth

Wha?",Twitter Web App
8.78E+17,1.25E+18,2020-04-23T22:07:28Z,"@adamkanee Hope you're alright Adam. If you got the reg plate (or even if you didn't), please report to the Gardai. If possible, write down all details of what happened now while it's fresh in your mind. You can report by phone to Traffic Watch - make sure you get a Pulse number.",Twitter for Android
